id,medicine_name,dose,volume_unit,pvp,re_imbursement_rate
1,Acarbose Bluepharma,50 mg,Blister - 20 unidade(s),3.27,90%
2,Acarbose Bluepharma,50 mg,Blister - 50 unidade(s),5.24,90%
3,Acarbose Bluepharma,100 mg,Blister - 50 unidade(s),6.42,90%
4,Acarbose Establix,100 mg,Blister - 60 unidade(s),6.42,90%
5,Acarbose Establix,50 mg,Blister - 60 unidade(s),5.24,90%
6,Acarbose Farmoz,100 mg,Blister - 60 unidade(s),8.52,90%
7,Acarbose Farmoz,50 mg,Blister - 60 unidade(s),6.07,90%
8,Acarbose Farmoz,50 mg,Blister - 10 unidade(s),2.14,90%
9,Acarbose Generis,50 mg,Blister - 50 unidade(s),5.24,90%
10,Acarbose Generis,50 mg,Blister - 20 unidade(s),3.18,90%
11,Acarbose Generis,100 mg,Blister - 50 unidade(s),6.42,90%
12,Acarbose Labesfal,50 mg,Blister - 50 unidade(s),5.24,90%
13,Acarbose Mylan,50 mg,Blister - 50 unidade(s),5.24,90%
14,Acarbose Mylan,100 mg,Blister - 50 unidade(s),6.42,90%
15,Aceclofenac Alter 100 mg Comprimidos,100 mg,Blister - 60 unidade(s),6.59,37%
16,Aceclofenac Alter 100 mg Comprimidos,100 mg,Blister - 20 unidade(s),3.63,37%
17,Aceclofenac Ciclum 100 mg Comprimidos,100 mg,Blister - 60 unidade(s),6.58,37%
18,Aceclofenac Ciclum 100 mg Comprimidos,100 mg,Blister - 20 unidade(s),3.63,37%
19,Aceclofenac Generis 100 mg Comprimidos,100 mg,Blister - 60 unidade(s),6.65,37%
20,Aceclofenac Generis 100 mg Comprimidos,100 mg,Blister - 20 unidade(s),3.65,37%
21,Aceclofenac Mylan,100 mg,Blister - 60 unidade(s),6.41,37%
22,Aceclofenac Mylan,100 mg,Blister - 20 unidade(s),3.55,37%
23,Aceclofenac Ratiopharm,100 mg,Blister - 60 unidade(s),6.59,37%
24,Aceclofenac Ratiopharm,100 mg,Blister - 20 unidade(s),3.65,37%
25,Aciclovir Ciclum,800 mg,Blister - 25 unidade(s),16.73,69%
26,Aciclovir Ciclum,800 mg,Blister - 35 unidade(s),21.56,69%
27,Aciclovir Ciclum,200 mg,Blister - 25 unidade(s),6.67,69%
28,Aciclovir Cinfa 800 mg Comprimidos Dispersíveis,800 mg,Blister - 25 unidade(s),16.77,69%
29,Aciclovir Generis 200 mg Comprimidos,200 mg,Blister - 25 unidade(s),6.68,69%
30,Aciclovir Generis 800 mg Comprimidos,800 mg,Blister - 35 unidade(s),21.64,69%
31,Aciclovir Generis 800 mg Comprimidos,800 mg,Blister - 25 unidade(s),16.77,69%
32,Aciclovir Labesfal 200 mg Comprimidos,200 mg,Blister - 25 unidade(s),6.68,69%
33,Aciclovir Labesfal 800 mg Comprimidos,800 mg,Blister - 35 unidade(s),21.64,69%
34,Ácido acetilsalicílico Tolife,100 mg,Blister - 60 unidade(s),4.65,0%
35,Ácido alendrónico + Colecalciferol Azevedos,70 mg + 2800 U.I.,Blister - 4 unidade(s),10.1,69%
36,Ácido alendrónico + Colecalciferol Azevedos,70 mg + 5600 U.I.,Blister - 4 unidade(s),9.15,69%
37,Ácido alendrónico + Colecalciferol Bluepharma,70 mg + 5600 U.I.,Blister - 4 unidade(s),9.65,69%
38,Ácido alendrónico + Colecalciferol Ciclum,70 mg + 5600 U.I.,Blister - 4 unidade(s),7.06,69%
39,Ácido alendrónico + Colecalciferol Ciclum,70 mg + 2800 U.I.,Blister - 4 unidade(s),8.21,69%
40,Ácido Alendrónico + Colecalciferol Farmoz,70 mg + 5600 U.I.,Blister - 4 unidade(s),7.84,69%
41,Ácido Alendrónico + Colecalciferol Pentafarma,70 mg + 5600 U.I.,Blister - 4 unidade(s),8.7,69%
42,Ácido alendrónico + Colecalciferol Pharmakern,70 mg + 5600 U.I.,Blister - 4 unidade(s),9.16,69%
43,Ácido Alendrónico + Colecalciferol Sandoz,70 mg + 5600 U.I.,Blister - 4 unidade(s),9.97,69%
44,Ácido Alendrónico + Colecalciferol Zentiva,70 mg + 5600 U.I.,Blister - 4 unidade(s),7.44,69%
45,Ácido Alendrónico + Colecalciferol Zentiva,70 mg + 2800 U.I.,Blister - 4 unidade(s),8.65,69%
46,Ácido Alendrónico Almus,70 mg,Blister - 4 unidade(s),4.41,69%
47,Ácido Alendrónico Aurobindo,70 mg,Blister - 4 unidade(s),4.76,69%
48,Ácido Alendrónico Azevedos,70 mg,Blister - 4 unidade(s),4,69%
49,Ácido Alendrónico Basi,70 mg,Blister - 4 unidade(s),3.96,69%
50,Ácido alendrónico Bluefish,70 mg,Blister - 4 unidade(s),4,69%
51,Ácido Alendrónico Bluepharma,70 mg,Blister - 4 unidade(s),8.16,69%
52,Ácido Alendrónico Ciclum,70 mg,Blister - 4 unidade(s),4,69%
53,Ácido alendrónico Cinfa,70 mg,Blister - 4 unidade(s),4.41,69%
54,Ácido Alendrónico Farmoz,70 mg,Blister - 4 unidade(s),6.58,69%
55,Ácido Alendrónico Generis 70 mg Comprimidos,70 mg,Blister - 4 unidade(s),8.24,69%
56,Ácido Alendrónico GP,70 mg,Blister - 4 unidade(s),3.81,69%
57,Ácido Alendrónico Jaba,70 mg,Blister - 4 unidade(s),3.97,69%
58,Ácido Alendrónico Mepha,70 mg,Blister - 4 unidade(s),6.68,69%
59,Ácido Alendrónico Mylan,70 mg,Blister - 4 unidade(s),8.2,69%
